actiontype,actiondate,treeid,supervisordistrict,addressno,altdescription,legalstatus,ownername,siteorder,locsite,sitetype,planttype,scientificname,commonname,treephoto,x,y,lat,long,point,:@computed_region_jwn9_ihcz,:@computed_region_6qbp_sg9q,:@computed_region_qgnn_b9vv,:@computed_region_26cr_cadq,:@computed_region_ajp5_b2md
Posted 24hr,2021-01-21T00:00:00.000,211149,7,100,Terrace Dr  :  Santa Clara Ave  -  Terrace Walk,Significant Tree,Private,8,"Sidewalk, Curb side",Yard,Tree,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/211149/mobilePic1611269486543.jpg'},5993545.6652,2096759.54622,37.7369538633472,-122.46473384936183,"{'type': 'Point', 'coordinates': [-122.465, 37.737]}",116,116,10,8,41
Posted 15 Day,2019-07-31T00:00:00.000,181629,4,1298,24th Ave  :  Lincoln Way  -  Irving St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Stump,Stump,{'url': 'http://bsm.sfdpw.org/treephotos/181629/mobilePic1726179792442.jpg'},5988658.9816,2106523.539,37.76426780294347,-122.48254854321944,"{'type': 'Point', 'coordinates': [-122.483, 37.7643]}",39,39,10,7,35
Posted 30 Day,2019-02-27T00:00:00.000,258047,3,1250,Columbus Ave  :  Bay St  -  North Point St,Undocumented,Private,3,"Sidewalk, Curb side",Cutout,Tree,Ficus nitida,Laurel Fig,,6007719,2121534,37.805573496919926,-122.4178034232645,"{'type': 'Point', 'coordinates': [-122.418, 37.8056]}",99,99,6,6,32
Posted 15 Day,2018-08-07T00:00:00.000,220035,8,1711,Castro St  :  26th St  -  Cesar Chavez St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Planting site (plant),Planting Site (plant),{'url': 'http://bsm.sfdpw.org/treephotos/220035/mobilePic1559080633204.jpg'},6002636.34581,2100467.82106,37.74769673972955,-122.43373319458752,"{'type': 'Point', 'coordinates': [-122.434, 37.7477]}",84,84,3,5,22
Posted 15 Day,2018-10-15T00:00:00.000,223798,8,250,States St  :  Castro St  -  Levant St,DPW Maintained,Private,1,Front Yard,Yard,Tree,Cupressus macrocarpa,Monterey Cypress,{'url': 'http://bsm.sfdpw.org/treephotos/223798-198855.jpg'},6000691.89745,2106604.60917,37.76345149285314,-122.43897720740101,"{'type': 'Point', 'coordinates': [-122.439, 37.7635]}",113,113,7,5,5
Posted 15 Day,2021-09-02T00:00:00.000,130115,6,411,Turk St  :  Hyde St  -  Dodge Pl,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Lophostemon confertus,Brisbane Box,{'url': 'http://bsm.sfdpw.org/treephotos/130115/mobilePic1648154330454.jpg'},6008015.71618,2113047.45976,37.78250271369687,-122.41633843486726,"{'type': 'Point', 'coordinates': [-122.416, 37.7825]}",20,20,5,10,36
Posted 15 Day,2018-03-14T00:00:00.000,188116,,1530,03rd St  :  Start:  Block  -  16th St,DPW Maintained,Private,15,"Sidewalk, Curb side",Cutout,Tree,Arbutus 'Marina',Hybrid Strawberry Tree,{'url': 'http://bsm.sfdpw.org/treephotos/188116/mobilePic1521059314258.jpg'},6015593.45199,2107476.0616,37.76738609670323,-122.38924006398875,"{'type': 'Point', 'coordinates': [-122.389, 37.7674]}",34,34,1,10,4
Posted 30 Day,2017-11-08T00:00:00.000,7710,6,45,Franklin St  :  Lily St  -  Oak St,DPW Maintained,DPW,3,"Sidewalk, Curb side",Cutout,Empty,Planting site,Planting Site,{'url': 'http://bsm.sfdpw.org/treephotos/7710/mobilePic1581447294724.jpg'},6006505.57437,2110325.13763,37.77499606492583,-122.42090953533236,"{'type': 'Point', 'coordinates': [-122.421, 37.775]}",21,21,4,11,9
Posted 30 Day,2023-12-18T00:00:00.000,190200,6,100,Mission St  :  Spear St  -  Main St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Ficus microcarpa nitida 'Green Gem',Indian Laurel Fig Tree 'Green Gem',{'url': 'http://bsm.sfdpw.org/treephotos/190200/mobilePic1717786878594.jpg'},6014315.19536,2116534.70436,37.79218964086212,-122.39449993288866,"{'type': 'Point', 'coordinates': [-122.394, 37.7922]}",108,108,1,10,8
Posted 24hr,2024-12-06T00:00:00.000,122665,5,400,Laguna St  :  Oak St  -  Hickory St,DPW Maintained,Private,3,"Sidewalk, Curb side",Cutout,Tree,Stump (use Grinder),Stump (use Grinder),,,,37.77482409508249,-122.42593399278695,"{'type': 'Point', 'coordinates': [-122.426, 37.7748]}",22,22,4,11,9
Posted 15 Day,2018-09-17T00:00:00.000,235892,9,2770,23rd St  :  Hampshire St  -  York St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Prunus cerasifera,Cherry Plum,{'url': 'http://bsm.sfdpw.org/treephotos/235892/mobilePic1537215322292.jpg'},6010136.64698,2102829.23779,37.75447959131296,-122.40789567308742,"{'type': 'Point', 'coordinates': [-122.408, 37.7545]}",53,53,3,2,20
Posted 15 Day,2018-10-25T00:00:00.000,121990,1,540,15th Ave  :  Anza St  -  Balboa St,DPW Maintained,Private,1,"Sidewalk, Curb side",Cutout,Tree,Myoporum laetum,Myoporum,{'url': 'http://bsm.sfdpw.org/treephotos/121990/mobilePic1625173979309.jpg'},5991292.1464,2111705.30328,37.77772284626091,-122.47376552648925,"{'type': 'Point', 'coordinates': [-122.474, 37.7777]}",5,5,8,4,29
